tau,mag_triple,mag_bin_q4,mag_bin_q2
-1.9799195984e+00,1.0623301287e+00,1.0623129187e+00,1.0623139849e+00
-1.9798395968e+00,1.0623374309e+00,1.0623202207e+00,1.0623212870e+00
-1.9797595952e+00,1.0623447341e+00,1.0623275237e+00,1.0623285902e+00
-1.9796795936e+00,1.0623520383e+00,1.0623348278e+00,1.0623358944e+00
-1.9795995920e+00,1.0623593436e+00,1.0623421329e+00,1.0623431996e+00
-1.9795195904e+00,1.0623666499e+00,1.0623494390e+00,1.0623505059e+00
-1.9794395888e+00,1.0623739573e+00,1.0623567461e+00,1.0623578132e+00
-1.9793595872e+00,1.0623812656e+00,1.0623640543e+00,1.0623651215e+00
-1.9792795856e+00,1.0623885750e+00,1.0623713635e+00,1.0623724308e+00
-1.9791995840e+00,1.0623958854e+00,1.0623786737e+00,1.0623797412e+00
-1.9791195824e+00,1.0624031969e+00,1.0623859850e+00,1.0623870526e+00
-1.9790395808e+00,1.0624105094e+00,1.0623932973e+00,1.0623943650e+00
-1.9789595792e+00,1.0624178229e+00,1.0624006106e+00,1.0624016785e+00
-1.9788795776e+00,1.0624251374e+00,1.0624079249e+00,1.0624089930e+00
-1.9787995760e+00,1.0624324530e+00,1.0624152403e+00,1.0624163085e+00
-1.9787195744e+00,1.0624397696e+00,1.0624225567e+00,1.0624236251e+00
-1.9786395728e+00,1.0624470872e+00,1.0624298741e+00,1.0624309426e+00
-1.9785595712e+00,1.0624544059e+00,1.0624371926e+00,1.0624382613e+00
-1.9784795696e+00,1.0624617256e+00,1.0624445121e+00,1.0624455809e+00
-1.9783995680e+00,1.0624690463e+00,1.0624518326e+00,1.0624529016e+00
-1.9783195664e+00,1.0624763680e+00,1.0624591541e+00,1.0624602233e+00
-1.9782395648e+00,1.0624836908e+00,1.0624664767e+00,1.0624675460e+00
-1.9781595632e+00,1.0624910146e+00,1.0624738003e+00,1.0624748698e+00
-1.9780795616e+00,1.0624983395e+00,1.0624811250e+00,1.0624821945e+00
-1.9779995600e+00,1.0625056653e+00,1.0624884506e+00,1.0624895204e+00
-1.9779195584e+00,1.0625129922e+00,1.0624957773e+00,1.0624968472e+00
-1.9778395568e+00,1.0625203202e+00,1.0625031051e+00,1.0625041751e+00
-1.9777595552e+00,1.0625276491e+00,1.0625104338e+00,1.0625115040e+00
-1.9776795536e+00,1.0625349791e+00,1.0625177636e+00,1.0625188340e+00
-1.9775995520e+00,1.0625423102e+00,1.0625250945e+00,1.0625261650e+00
-1.9775195504e+00,1.0625496422e+00,1.0625324263e+00,1.0625334970e+00
-1.9774395488e+00,1.0625569753e+00,1.0625397592e+00,1.0625408300e+00
-1.9773595472e+00,1.0625643094e+00,1.0625470932e+00,1.0625481641e+00
-1.9772795456e+00,1.0625716446e+00,1.0625544281e+00,1.0625554992e+00
-1.9771995440e+00,1.0625789808e+00,1.0625617641e+00,1.0625628354e+00
-1.9771195424e+00,1.0625863180e+00,1.0625691011e+00,1.0625701725e+00
-1.9770395408e+00,1.0625936563e+00,1.0625764392e+00,1.0625775107e+00
-1.9769595392e+00,1.0626009956e+00,1.0625837783e+00,1.0625848500e+00
-1.9768795376e+00,1.0626083359e+00,1.0625911184e+00,1.0625921903e+00
-1.9767995360e+00,1.0626156772e+00,1.0625984596e+00,1.0625995316e+00
-1.9767195344e+00,1.0626230196e+00,1.0626058018e+00,1.0626068739e+00
-1.9766395328e+00,1.0626303631e+00,1.0626131450e+00,1.0626142173e+00
-1.9765595312e+00,1.0626377075e+00,1.0626204893e+00,1.0626215617e+00
-1.9764795296e+00,1.0626450530e+00,1.0626278346e+00,1.0626289071e+00
-1.9763995280e+00,1.0626523995e+00,1.0626351809e+00,1.0626362536e+00
-1.9763195264e+00,1.0626597471e+00,1.0626425283e+00,1.0626436011e+00
-1.9762395248e+00,1.0626670957e+00,1.0626498767e+00,1.0626509497e+00
-1.9761595232e+00,1.0626744453e+00,1.0626572261e+00,1.0626582993e+00
-1.9760795216e+00,1.0626817960e+00,1.0626645766e+00,1.0626656499e+00
-1.9759995200e+00,1.0626891477e+00,1.0626719281e+00,1.0626730016e+00
-1.9759195184e+00,1.0626965005e+00,1.0626792806e+00,1.0626803542e+00
-1.9758395168e+00,1.0627038542e+00,1.0626866342e+00,1.0626877080e+00
-1.9757595152e+00,1.0627112090e+00,1.0626939888e+00,1.0626950627e+00
-1.9756795136e+00,1.0627185649e+00,1.0627013445e+00,1.0627024185e+00
-1.9755995120e+00,1.0627259218e+00,1.0627087011e+00,1.0627097754e+00
-1.9755195104e+00,1.0627332797e+00,1.0627160589e+00,1.0627171332e+00
-1.9754395088e+00,1.0627406386e+00,1.0627234176e+00,1.0627244921e+00
-1.9753595072e+00,1.0627479986e+00,1.0627307774e+00,1.0627318521e+00
-1.9752795056e+00,1.0627553597e+00,1.0627381382e+00,1.0627392131e+00
-1.9751995040e+00,1.0627627217e+00,1.0627455001e+00,1.0627465751e+00
-1.9751195024e+00,1.0627700848e+00,1.0627528630e+00,1.0627539381e+00
-1.9750395008e+00,1.0627774490e+00,1.0627602270e+00,1.0627613022e+00
-1.9749594992e+00,1.0627848142e+00,1.0627675919e+00,1.0627686674e+00
-1.9748794976e+00,1.0627921804e+00,1.0627749580e+00,1.0627760335e+00
-1.9747994960e+00,1.0627995476e+00,1.0627823250e+00,1.0627834007e+00
-1.9747194944e+00,1.0628069159e+00,1.0627896931e+00,1.0627907690e+00
-1.9746394928e+00,1.0628142853e+00,1.0627970622e+00,1.0627981383e+00
-1.9745594912e+00,1.0628216556e+00,1.0628044324e+00,1.0628055086e+00
-1.9744794896e+00,1.0628290270e+00,1.0628118036e+00,1.0628128799e+00
-1.9743994880e+00,1.0628363995e+00,1.0628191759e+00,1.0628202523e+00
-1.9743194864e+00,1.0628437730e+00,1.0628265491e+00,1.0628276258e+00
-1.9742394848e+00,1.0628511475e+00,1.0628339235e+00,1.0628350003e+00
-1.9741594832e+00,1.0628585230e+00,1.0628412988e+00,1.0628423758e+00
-1.9740794816e+00,1.0628658996e+00,1.0628486752e+00,1.0628497523e+00
-1.9739994800e+00,1.0628732773e+00,1.0628560527e+00,1.0628571299e+00
-1.9739194784e+00,1.0628806560e+00,1.0628634312e+00,1.0628645086e+00
-1.9738394768e+00,1.0628880357e+00,1.0628708107e+00,1.0628718882e+00
-1.9737594752e+00,1.0628954165e+00,1.0628781913e+00,1.0628792689e+00
-1.9736794736e+00,1.0629027983e+00,1.0628855729e+00,1.0628866507e+00
-1.9735994720e+00,1.0629101811e+00,1.0628929555e+00,1.0628940335e+00
-1.9735194704e+00,1.0629175650e+00,1.0629003392e+00,1.0629014173e+00
-1.9734394688e+00,1.0629249499e+00,1.0629077239e+00,1.0629088022e+00
-1.9733594672e+00,1.0629323359e+00,1.0629151097e+00,1.0629161881e+00
-1.9732794656e+00,1.0629397229e+00,1.0629224965e+00,1.0629235751e+00
-1.9731994640e+00,1.0629471109e+00,1.0629298843e+00,1.0629309631e+00
-1.9731194624e+00,1.0629545000e+00,1.0629372732e+00,1.0629383521e+00
-1.9730394608e+00,1.0629618901e+00,1.0629446631e+00,1.0629457422e+00
